City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,75,1.0,RU,1694004858
84,puerto ayora,-0.7393,-90.3518,23.08,91,92,3.13,EC,1694005018
85,longyearbyen,78.2186,15.6401,2.91,87,100,10.29,SJ,1694005018
86,paita,-5.0892,-81.1144,20.18,81,51,5.37,PE,1694005018
87,morondava,-20.2833,44.2833,26.7,50,100,5.99,MG,1694005018
88,shangrao,28.4532,117.9686,24.0,93,84,1.8,CN,1694005018
89,codrington,-38.2667,141.9667,14.7,53,11,7.68,AU,1694005018
90,kolonia town,6.964,158.206,29.17,70,54,2.22,FM,1694005018
91,tolanaro,-25.0319,46.9987,25.04,73,20,3.09,MG,1694005018
92,smithers,54.7804,-127.1743,7.18,93,100,1.54,CA,1694005019
93,madalena,41.2162,-8.3345,29.31,60,100,4.0,PT,1694005019
94,bamboo flat,11.7,92.7167,28.05,83,75,3.6,IN,1694005019
95,woolgoolga,-30.1106,153.2007,12.93,77,0,2.49,AU,1694005019
96,okhotsk,59.3833,143.3,8.78,85,100,8.73,RU,1694005019
97,guwahati,26.1862,91.751,26.95,94,75,1.54,IN,1694005019
98,happy valley-goose bay,53.3168,-60.3315,18.17,68,0,2.57,CA,1694005019
99,pecos,31.4229,-103.4932,26.46,52,0,0.0,US,1694005019
100,punta arenas,-53.15,-70.9167,3.14,82,79,8.74,CL,1694004819
101,hobyo,5.3505,48.5268,27.81,72,6,14.51,SO,1694005020
102,sarmiento,-45.5882,-69.07,5.75,92,100,4.59,AR,1694005020
103,ma'rib,15.4591,45.3253,35.81,17,96,9.68,YE,1694005020
104,freetown,8.484,-13.2299,27.84,78,75,2.57,SL,1694004864
105,mingshui,36.7167,117.5,24.35,61,0,2.07,CN,1694005020
106,acarau,-2.8856,-40.12,30.56,48,25,7.92,BR,1694004762
107,lihue,21.9789,-159.3672,24.77,82,20,2.57,US,1694005020
108,baicheng,45.6167,122.8167,20.22,65,0,3.92,CN,1694005021
109,hamilton,39.1834,-84.5333,24.89,84,40,4.63,US,1694004905
110,atherton,53.5237,-2.4935,27.64,64,28,1.55,GB,1694005021
111,thabazimbi,-24.5917,27.4116,34.0,8,19,3.66,ZA,1694004865
112,nyurba,63.2842,118.3319,-0.27,72,67,2.04,RU,1694005021
113,bonito,-21.1211,-56.4819,27.99,45,100,3.58,BR,1694005021
114,emirdag,39.0197,31.15,28.81,31,8,3.34,TR,1694005021
115,yellowknife,62.456,-114.3525,7.29,94,40,2.57,CA,1694004965
116,avarua,-21.2078,-159.775,21.03,78,75,6.17,CK,1694004886
117,jamestown,42.097,-79.2353,24.84,91,0,2.06,US,1694004742
118,aasiaat,68.7098,-52.8699,1.63,98,100,3.43,GL,1694005021
119,onguday,50.75,86.15,12.36,64,100,1.71,RU,1694005022
120,munnar,10.1,77.0667,15.91,97,100,1.97,IN,1694005022
121,invercargill,-46.4,168.35,11.68,65,14,3.58,NZ,1694005022
122,moree,-29.4667,149.85,16.43,37,0,5.3,AU,1694005022
123,barra,-11.0894,-43.1417,28.41,45,0,4.72,BR,1694005022
124,sittwe,20.15,92.9,26.38,91,100,7.31,MM,1694005022
125,karasuk,53.7377,78.0403,12.02,67,100,3.99,RU,1694005022
126,coxen hole,16.3244,-86.5366,28.6,84,20,5.14,HN,1694005022
127,barclayville,4.6797,-8.2339,27.55,70,66,3.72,LR,1694005023
128,tidjikja,18.5564,-11.4271,34.51,39,12,1.93,MR,1694005023
129,neiafu,-18.65,-173.9833,19.38,94,20,0.0,TO,1694005023
130,polyarnyy,69.1989,33.4478,11.26,66,63,9.75,RU,1694005023
131,udachny,66.4167,112.4,1.92,80,84,4.75,RU,1694005023
132,west island,-12.1568,96.8225,25.99,69,40,4.12,CC,1694005023
133,bowie,33.4501,-94.4335,26.65,92,6,1.6,US,1694004887
134,talnakh,69.4865,88.3972,8.45,65,62,2.24,RU,1694005023
135,tiksi,71.6872,128.8694,2.51,88,31,8.76,RU,1694005023
136,bryne,58.7354,5.6477,22.75,67,0,3.09,NO,1694005024
137,camarinas,43.1311,-9.1817,26.07,70,23,7.1,ES,1694005024
138,muynoq,43.7683,59.0214,25.68,33,99,6.92,UZ,1694005024
139,calama,-22.4667,-68.9333,6.27,12,0,9.26,CL,1694005024
140,queimadas,-10.9783,-39.6264,28.85,37,0,5.14,BR,1694005024
141,yantzaza,-3.8278,-78.7594,18.96,98,100,0.38,EC,1694005024
142,keflavik,64.0049,-22.5624,12.95,100,100,8.75,IS,1694005024
143,pont rouge,48.8833,-72.0825,24.16,80,1,0.82,CA,1694005024
144,selkirk,50.1436,-96.8845,9.48,94,73,3.32,CA,1694005025
145,margate,51.3813,1.3862,23.83,77,0,0.45,GB,1694005025
146,tazacorte,28.629,-17.9293,26.54,87,40,3.09,ES,1694005025
147,ushuaia,-54.8,-68.3,-0.19,55,0,2.06,AR,1694005025
148,constantia,44.1833,28.65,28.38,60,3,6.89,RO,1694005025
149,st. john's,47.5649,-52.7093,22.93,94,40,2.57,CA,1694004873
150,saldanha,-33.0117,17.9442,16.03,64,41,2.74,ZA,1694005025
151,dryden,49.7833,-92.7503,11.16,82,100,6.17,CA,1694004824
152,sarh,9.1429,18.3923,30.34,60,39,0.36,TD,1694005025
153,mhamid,29.82,-5.72,38.05,15,100,7.27,MA,1694005026
154,aldinga beach,-35.2793,138.4604,22.37,50,100,5.85,AU,1694005026
155,popondetta,-8.7537,148.2534,23.55,91,73,0.96,PG,1694005026
156,belcista,41.3028,20.8303,20.53,56,75,2.06,MK,1694005026
157,taichung,24.1469,120.6839,28.05,96,75,2.57,TW,1694004957
158,minas de marcona,-15.2119,-75.1103,13.63,81,81,5.4,PE,1694005026
159,riverton,40.5219,-111.9391,16.84,75,0,5.36,US,1694005026
160,cave spring,37.2276,-80.0128,25.75,87,0,1.54,US,1694005026
161,kapuskasing,49.4169,-82.4331,19.0,100,100,3.6,CA,1694005027
162,kavieng,-2.5744,150.7967,27.46,82,100,5.78,PG,1694005027
163,joshimath,30.5667,79.5667,20.21,89,98,0.85,IN,1694005027
164,kudymkar,59.0173,54.656,18.63,59,50,2.73,RU,1694005027
165,kruisfontein,-34.0033,24.7314,18.82,44,92,9.22,ZA,1694005027
166,klyuchi,52.2667,79.1667,12.32,62,83,2.46,RU,1694005027
167,tazovsky,67.4667,78.7,9.97,57,18,2.87,RU,1694005027
168,new norfolk,-42.7826,147.0587,12.62,79,15,1.94,AU,1694005027
169,tayshet,55.9342,98.0044,10.86,79,7,1.47,RU,1694005027
170,broken hill,-31.95,141.4333,15.49,26,0,5.12,AU,1694005028
171,ngetkib,7.3645,134.5148,27.58,79,98,2.11,PW,1694005028
172,afaahiti,-17.75,-149.2833,23.93,86,92,8.89,PF,1694005028
173,nema,57.5067,50.5011,21.72,39,100,4.21,RU,1694005028
174,hampton bays,40.869,-72.5176,28.3,87,0,3.6,US,1694005028
175,ketchikan,55.3422,-131.6461,11.26,93,100,2.06,US,1694005028
176,medina,24.4686,39.6142,45.24,4,0,4.12,SA,1694004738
177,plymouth,41.8334,-70.8328,26.1,84,0,3.6,US,1694004834
178,kodiak,57.79,-152.4072,12.73,67,100,4.12,US,1694005028
179,svobodnyy,51.4,128.1333,12.96,75,79,2.28,RU,1694005028
180,ladbergen,52.1333,7.75,30.72,47,0,2.57,DE,1694005029
181,labrador city,52.9463,-66.9114,18.95,68,40,3.6,CA,1694005029
182,vilyuchinsk,52.9306,158.4028,12.15,88,95,0.68,RU,1694005029
183,daru,-9.0763,143.2092,25.02,92,52,6.1,PG,1694005029
184,lautoka,-17.6167,177.4667,21.92,78,40,2.06,FJ,1694005029
185,micheweni,-4.9667,39.8333,26.77,72,58,4.36,TZ,1694005029
186,mejit,10.2753,170.8646,28.09,78,100,5.14,MH,1694005029
187,mar del plata,-38.0023,-57.5575,8.94,69,0,5.14,AR,1694005029
188,spasskoye,44.6108,132.7969,14.18,88,21,1.03,RU,1694005030
189,tekeli,44.83,78.8239,15.49,43,100,1.33,KZ,1694005030
190,santo antonio do ica,-3.1022,-67.9397,26.78,55,81,0.86,BR,1694005030
191,guerrero negro,27.9769,-114.0611,19.65,83,0,4.83,MX,1694005030
192,kamalapuram,14.5833,78.65,31.93,51,75,3.6,IN,1694005030
193,foundiougne,14.1333,-16.4667,31.03,65,98,7.76,SN,1694005030
194,bewar,27.2184,79.3005,26.76,70,98,3.04,IN,1694005030
195,quincy,42.2529,-71.0023,26.75,85,0,3.6,US,1694004879
196,bujumbura,-3.3822,29.3644,26.03,66,71,0.77,BI,1694005031
197,antonio enes,-16.2325,39.9086,27.43,60,2,5.91,MZ,1694005031
198,chonchi,-42.6128,-73.8092,7.84,97,100,2.17,CL,1694005031
199,crane,31.3974,-102.3501,24.43,74,0,4.56,US,1694005031
200,newman,37.3138,-121.0208,18.99,71,0,0.89,US,1694005031
201,uturoa,-16.7333,-151.4333,24.9,84,57,8.42,PF,1694005031
202,korla,41.7597,86.1469,27.45,16,0,2.03,CN,1694005031
203,mount gambier,-37.8333,140.7667,12.63,59,90,4.09,AU,1694005031
204,yorkton,51.2167,-102.4677,5.91,93,20,3.09,CA,1694005032
205,touros,-5.1989,-35.4608,28.36,63,15,8.25,BR,1694005032
206,lompoc,34.6391,-120.4579,18.21,86,100,3.13,US,1694004794
207,al kharijah,25.4514,30.5464,42.25,9,2,1.24,EG,1694005032
208,delmar,42.622,-73.8326,25.27,86,20,1.34,US,1694005032
209,safotu,-13.4513,-172.4018,27.43,75,18,9.27,WS,1694005032
210,paramonga,-10.6667,-77.8333,19.21,82,73,3.62,PE,1694005032
